word,phonemes
BY,B AY
I,AY
YOU,Y UW
NOT,N AA T
FROM,F R AH M
AT,AE T
ALL,AO L
HAVE,HH AE V
MORE,M AO R
WE,W IY
HOME,HH OW M
ABOUT,AH B AW T
PAGE,P EY JH
MY,M AY
SEARCH,S ER CH
FREE,F R IY
BUT,B AH T
OTHER,AH DH ER
DO,D UW
NO,N OW
INFORMATION,IH N F AO R M EY SH AH N
TIME,T AY M
THEY,DH EY
SITE,S AY T
HE,HH IY
UP,AH P
MAY,M EY
THEIR,DH EH R
OUT,AW T
ANY,EH N IY
THERE,DH EH R
SEE,S IY
ONLY,OW N L IY
SO,S OW
CONTACT,K AA N T AE K T
HERE,HH IY R
WHO,HH UW
WEB,W EH B
ALSO,AO L S OW
NOW,N AW
HELP,HH EH L P
PM,P IY EH M
VIEW,V Y UW
ONLINE,AO N L AY N
FIRST,F ER S T
WOULD,W UH D
HOW,HH AW
WERE,W ER
ME,M IY
SOME,S AH M
THESE,DH IY Z
CLICK,K L IH K
LIKE,L AY K
FIND,F AY N D
PRICE,P R AY S
DATE,D EY T
BACK,B AE K
PEOPLE,P IY P AH L
HAD,HH AE D
LIST,L IH S T
NAME,N EY M
OVER,OW V ER
STATE,S T EY T
YEAR,Y IH R
DAY,D EY
EMAIL,IY M EY L
TWO,T UW
HEALTH,HH EH L TH
WORLD,W ER L D
USED,Y UW Z D
GO,G OW
WORK,W ER K
LAST,L AE S T
MUSIC,M Y UW Z IH K
BUY,B AY
MAKE,M EY K
SHOULD,SH UH D
PRODUCT,P R AA D AH K T
SYSTEM,S IH S T AH M
POST,P OW S T
HER,HH ER
CITY,S IH T IY
ADD,AE D
POLICY,P AA L AH S IY
NUMBER,N AH M B ER
SUCH,S AH CH
PLEASE,P L IY Z
AVAILABLE,AH V EY L AH B AH L
COPYRIGHT,K AA P IY R AY T
SUPPORT,S AH P AO R T
AFTER,AE F T ER
BEST,B EH S T
THEN,DH EH N
JAN,JH AE N
VIDEO,V IH D IY OW
WELL,W EH L
INFO,IH N F OW
RIGHTS,R AY T S
PUBLIC,P AH B L IH K
BOOKS,B UH K S
HIGH,HH AY
SCHOOL,S K UW L
THROUGH,TH R UW
EACH,IY CH
LINKS,L IH NG K S
SHE,SH IY
REVIEW,R IY V Y UW
YEARS,Y IH R Z
ORDER,AO R D ER
VERY,V EH R IY
PRIVACY,P R AY V AH S IY
BOOK,B UH K
ITEMS,AY T AH M Z
COMPANY,K AH M P AH N IY
GROUP,G R UW P
SEX,S EH K S
NEED,N IY D
MANY,M EH N IY
USER,Y UW Z ER
SAID,S EH D
SET,S EH T
UNDER,AH N D ER
UNIVERSITY,Y UW N AH V ER S AH T IY
JANUARY,JH AE N Y UW EH R IY
MAIL,M EY L
FULL,F UH L
MAP,M AE P
PROGRAM,P R OW G R AE M
LIFE,L AY F
KNOW,N OW
GAMES,G EY M Z
WAY,W EY
DAYS,D EY Z
PART,P AA R T
COULD,K UH D
GREAT,G R EY T
HOTEL,HH OW T EH L
REAL,R IY L
ITEM,AY T AH M
MUST,M AH S T
STORE,S T AO R
TRAVEL,T R AE V AH L
COMMENTS,K AA M EH N T S
MADE,M EY D
DEVELOPMENT,D IH V EH L AH P M AH N T
OFF,AO F
MEMBER,M EH M B ER
LINE,L AY N
